name_english,name_arabic,calories,protein (g),fat (g),carbohydrates (g),recipe_english,recipe_arabic,food_type,serving_size_english,serving_size_arabic,bread_suggestion_english,bread_suggestion_arabic,tags,Column1,_1,meal,Column2,_2,Column3,_3
Ful Medames (Upgraded - 300g),فول مدمس مطور (300 جرام),320,17,11,42,"Upgraded Ful Medames with tahini (2 tbsp), more vegetables (50g tomato, 30g onion, 10g parsley), and olive oil (1 tbsp). Serve with 100g whole wheat pita bread (approx. 1 medium pita).","فول مدمس مطور مع طحينة (2 ملعقة كبيرة)، المزيد من الخضروات (50 جرام طماطم، 30 جرام بصل، 10 جرام بقدونس)، وزيت زيتون (1 ملعقة كبيرة). يقدم مع 100 جرام خبز بيتا القمح الكامل (حوالي 1 خبز بيتا متوسط).",egyptian,300g serving,300 جرام للوجبة,100g whole wheat pita bread (1 medium pita),100 جرام خبز بيتا القمح الكامل (1 خبز بيتا متوسط),"vegan,vegetarian,high-protein,moderate-fat,high-carb,breakfast,fiber-rich",,,breakfast,,,,
Taameya (Egyptian Falafel - Baked - 4 pieces),طعمية مصرية (فلافل - مخبوزة - 4 قطع),200,13,7,28,"Baked Taameya (4 pieces - approx. 100g) for a healthier option. Mix ground fava beans with herbs and spices, bake until golden.","طعمية مخبوزة (4 قطع - حوالي 100 جرام) لخيار صحي أكثر. اخلط الفول المطحون مع الأعشاب والتوابل، واخبزها حتى يصبح لونها ذهبياً.",egyptian,4 pieces (approx. 100g),4 قطع (حوالي 100 جرام),No bread suggested,لا يقترح خبز,"vegan,vegetarian,high-protein,low-fat,moderate-carb,breakfast,baked",,,breakfast,,,,
Shakshuka (2 eggs - 250g),شكشوكة (2 بيضة - 250 جرام),250,17,14,18,Shakshuka: Poached eggs (2 large) in a spicy tomato and pepper sauce (approx. 200g sauce). Serve with 50g whole wheat bread (1 slice).,شكشوكة: بيض مسلوق (2 كبير) في صلصة طماطم وفلفل حارة (حوالي 200 جرام صلصة). يقدم مع 50 جرام خبز القمح الكامل (1 شريحة).,egyptian/middle_eastern,250g serving (2 eggs + sauce),250 جرام للوجبة (2 بيضة + صلصة),50g whole wheat bread (1 slice),50 جرام خبز القمح الكامل (1 شريحة),"vegetarian,high-protein,moderate-fat,moderate-carb,breakfast,spicy",,,breakfast,,,,
Labneh with Za'atar and Olives (150g Labneh),لبنة بالزعتر والزيتون (150 جرام لبنة),280,9,20,18,"Creamy labneh (150g) topped with za'atar (1 tsp), olive oil (1 tbsp), and olives (10g). Serve with 100g whole wheat pita bread or 150g vegetables (cucumber, tomato).","لبنة كريمية (150 جرام) مغطاة بالزعتر (1 ملعقة صغيرة) وزيت الزيتون (1 ملعقة كبيرة) والزيتون (10 جرام). تقدم مع 100 جرام خبز بيتا القمح الكامل أو 150 جرام خضروات (خيار، طماطم).",egyptian/middle_eastern,150g Labneh serving,150 جرام لبنة للوجبة,100g whole wheat pita bread or 150g vegetables,100 جرام خبز بيتا القمح الكامل أو 150 جرام خضروات,"vegetarian,moderate-protein,high-fat,moderate-carb,breakfast,mediterranean",,,breakfast,,,,
Baladi Bread with Honey and Cheese (100g bread),خبز بلدي بالعسل والجبن (100 جرام خبز),300,8,13,38,"Baladi bread (100g - approx. 1/2 loaf) served with a drizzle of honey (1 tbsp) and a slice of local cheese (30g, like Mish cheese).","خبز بلدي (100 جرام - حوالي نصف رغيف) يقدم مع رشة عسل (1 ملعقة كبيرة) وشريحة جبن محلي (30 جرام، مثل جبنة مش).",egyptian,100g bread serving + toppings,100 جرام خبز للوجبة + الإضافات,No additional bread,لا خبز إضافي,"vegetarian,moderate-protein,moderate-fat,high-carb,breakfast,traditional",,,breakfast,,,,
Eggs with Sausage and Peppers (350g),بيض بالنقانق والفلفل (350 جرام),400,28,30,10,Scrambled eggs (2 large) with sliced sausage (80g chicken or beef) and sautéed bell peppers and onions (approx. 150g veggies).,بيض مخفوق (2 كبير) مع شرائح نقانق (80 جرام دجاج أو لحم بقري) وفلفل حلو وبصل مقلي (حوالي 150 جرام خضروات).,egyptian/american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,high-fat,low-carb,breakfast",,,breakfast,,,,
Mediterranean Omelette (1 Omelette),أومليت متوسطي (1 أومليت),320,22,22,9,"Omelette (2 eggs) filled with feta cheese (30g), spinach (30g), olives (10g), and sun-dried tomatoes (10g).",أومليت (2 بيضة) محشو بالجبن الفيتا (30 جرام) والسبانخ (30 جرام) والزيتون (10 جرام) والطماطم المجففة بالشمس (10 جرام).,egyptian/mediterranean,1 Omelette serving,1 وجبة أومليت,No bread suggested,لا يقترح خبز,"vegetarian,high-protein,moderate-fat,low-carb,breakfast,mediterranean",,,breakfast,,,,
Hard-Boiled Eggs (2),بيض مسلوق (2),140,12,10,1,Two hard-boiled eggs (approx. 120g total weight) for a quick protein boost.,بيضتان مسلوقتان (حوالي 120 جرام الوزن الإجمالي) لزيادة البروتين بسرعة.,egyptian,2 eggs (approx. 120g),2 بيضة (حوالي 120 جرام),No bread suggested,لا يقترح خبز,"high-protein,moderate-fat,very-low-carb,breakfast,quick",,,breakfast,,,,
Pancakes with Berries and Maple Syrup (2 pancakes),بان كيك مع التوت وشراب القيقب (2 بان كيك),400,8,15,60,Fluffy pancakes (2 medium pancakes - approx. 150g) served with fresh berries (50g) and maple syrup (2 tbsp - 30ml).,فطائر بان كيك رقيقة (2 بان كيك متوسط - حوالي 150 جرام) تقدم مع التوت الطازج (50 جرام) وشراب القيقب (2 ملعقة كبيرة - 30 مل).,american,2 pancakes + toppings,2 بان كيك + الإضافات,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,high-carb,breakfast,sweet",,,breakfast,,,,
Breakfast Quesadilla (1 Quesadilla),كيساديلا إفطار (1 كيساديلا),480,27,27,38,"Whole wheat tortilla (1 large - approx. 60g) filled with scrambled eggs (2), black beans (50g), cheese (30g), and salsa (30g). Grilled until golden.",تورتيلا قمح كامل (1 كبير - حوالي 60 جرام) محشوة بالبيض المخفوق (2) والفاصوليا السوداء (50 جرام) والجبن (30 جرام) والصلصة (30 جرام). مشوية حتى يصبح لونها ذهبياً.,american/mexican,1 Quesadilla serving,1 وجبة كيساديلا,No bread suggested,لا يقترح خبز,"vegetarian,high-protein,high-fat,moderate-carb,breakfast,mexican",,,breakfast,,,,
