name_english,name_arabic,calories,protein (g),fat (g),carbohydrates (g),recipe_english,recipe_arabic,food_type,serving_size_english,serving_size_arabic,tags,meal
Handful of Almonds (30g),حفنة من اللوز (30 جرام),170,6,15,6,Approx. 30g of almonds (about 23 almonds).,حوالي 30 جرام من اللوز (حوالي 23 لوزة).,american/mediterranean,30g (approx. 23 almonds),30 جرام (حوالي 23 لوزة),"nuts,healthy-fat,high-protein,snack,portion-controlled",snack
Greek Yogurt with Honey (170g cup),زبادي يوناني بالعسل (علبة 170 جرام),190,16,5,22,170g container of plain Greek yogurt with 1 teaspoon of honey (approx. 7g).,علبة 170 جرام من الزبادي اليوناني العادي مع 1 ملعقة صغيرة من العسل (حوالي 7 جرام).,american/mediterranean,170g cup,علبة 170 جرام,"dairy,high-protein,snack,portion-controlled",snack
"Apple Slices with Peanut Butter (1 apple, 2 tbsp PB)","شرائح تفاح بزبدة الفول السوداني (1 تفاحة, 2 ملعقة كبيرة زبدة الفول السوداني)",220,8,10,30,"1 medium apple (approx. 180g) sliced, served with 2 tablespoons of peanut butter (approx. 32g).","1 تفاحة متوسطة (حوالي 180 جرام) مقطعة شرائح، تقدم مع 2 ملعقة كبيرة من زبدة الفول السوداني (حوالي 32 جرام).",american,1 medium apple + 2 tbsp PB,1 تفاحة متوسطة + 2 ملعقة كبيرة زبدة الفول السوداني,"fruit,nuts,high-protein,snack,portion-controlled",snack
Small Bowl of Fruit Salad (150g),طبق صغير من سلطة الفواكه (150 جرام),140,1,1,35,"Approx. 150g of mixed fruit salad (e.g., melon, berries, grapes).",حوالي 150 جرام من سلطة الفواكه المشكلة (مثل البطيخ والتوت والعنب).,american/egyptian,150g bowl,طبق 150 جرام,"fruit,low-fat,snack,portion-controlled",snack
Hard-Boiled Egg (1 large),بيضة مسلوقة (1 كبيرة),80,6,5,1,1 large hard-boiled egg (approx. 60g).,1 بيضة مسلوقة كبيرة (حوالي 60 جرام).,egyptian/american,1 large egg (approx. 60g),1 بيضة كبيرة (حوالي 60 جرام),"high-protein,snack,portion-controlled",snack
"Cottage Cheese with Berries (1/2 cup CC, 1/2 cup berries)","جبنة قريش مع التوت (نصف كوب جبنة قريش, نصف كوب توت)",180,26,5,15,1/2 cup (approx. 110g) low-fat cottage cheese topped with 1/2 cup (approx. 75g) mixed berries.,نصف كوب (حوالي 110 جرام) جبنة قريش قليلة الدسم مغطاة بنصف كوب (حوالي 75 جرام) من التوت المشكل.,american,1/2 cup cottage cheese + 1/2 cup berries,نصف كوب جبنة قريش + نصف كوب توت,"dairy,high-protein,fruit,snack,portion-controlled",snack
"Rice Cakes with Avocado (2 cakes, 1/4 avocado)","كعك الأرز مع الأفوكادو (2 كعكة, ربع أفوكادو)",160,3,8,20,2 plain rice cakes topped with 1/4 medium avocado (approx. 40g) mashed.,2 كعكة أرز سادة مغطاة بربع أفوكادو متوسط (حوالي 40 جرام) مهروس.,american,2 rice cakes + 1/4 avocado,2 كعكة أرز + ربع أفوكادو,"healthy-fat,snack,portion-controlled",snack
Protein Smoothie (250ml),سموذي بروتين (250 مل),250,22,6,28,"Protein smoothie made with 1 scoop (approx. 30g) whey protein powder, 200ml milk, and a few berries (approx. 30g).","سموذي بروتين مصنوع من 1 مغرفة (حوالي 30 جرام) مسحوق بروتين مصل اللبن، 200 مل حليب، وقليل من التوت (حوالي 30 جرام).",american,250ml smoothie,250 مل سموذي,"high-protein,snack,dairy,fruit,portion-controlled",snack
"Vegetable Sticks with Hummus (1 cup veggies, 2 tbsp hummus)","أصابع خضار مع حمص (1 كوب خضار, 2 ملعقة كبيرة حمص)",150,5,9,15,"1 cup (approx. 100g) vegetable sticks (carrots, cucumbers, bell peppers) with 2 tablespoons of hummus (approx. 30g).","1 كوب (حوالي 100 جرام) أصابع خضار (جزر، خيار، فلفل رومي) مع 2 ملعقة كبيرة من الحمص (حوالي 30 جرام).",egyptian/mediterranean,1 cup veggies + 2 tbsp hummus,1 كوب خضار + 2 ملعقة كبيرة حمص,"vegan,vegetarian,high-protein,snack,fiber-rich,portion-controlled",snack
"Small Bag of Popcorn (air-popped, 3 cups)","كيس صغير من الفشار (فشار بالهواء, 3 أكواب)",110,3,1,22,3 cups (approx. 24g) air-popped popcorn (no added butter or oil).,3 أكواب (حوالي 24 جرام) من الفشار المصنوع بالهواء (بدون زبدة أو زيت مضاف).,american,3 cups air-popped popcorn,3 أكواب فشار بالهواء,"low-fat,snack,whole-grain,portion-controlled",snack
