name_english,name_arabic,calories,protein (g),fat (g),carbohydrates (g),recipe_english,recipe_arabic,food_type,serving_size_english,serving_size_arabic,bread_suggestion_english,bread_suggestion_arabic,tags,meal
Koshari (Upgraded - 400g),كشري مطور (400 جرام),500,20,12,80,"Upgraded Koshari: Rice, brown lentils, whole wheat pasta, chickpeas, crispy onions, and a spicy tomato-vinegar sauce.","كشري مطور: أرز، عدس بني، مكرونة قمح كامل، حمص، بصل مقلي مقرمش، وصلصة طماطم وخل حارة.",egyptian,400g serving,400 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,vegan,high-carb,moderate-protein,low-fat,lunch,fiber-rich",lunch
Macarona Bechamel (Reduced Fat - 350g),مكرونة بشاميل (قليل الدسم - 350 جرام),480,35,20,50,"Reduced-fat Macarona Bechamel: Whole wheat pasta, lean minced beef, light béchamel sauce made with skim milk and less butter.","مكرونة بشاميل قليلة الدسم: مكرونة قمح كامل، لحم بقري مفروم قليل الدهن، بشاميل خفيف مصنوع من الحليب الخالي من الدسم وقليل من الزبدة.",egyptian,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-carb,high-protein,moderate-fat,lunch,lighter",lunch
Stuffed Grape Leaves (Meat - 6 pieces),محشي ورق عنب (لحم - 6 قطع),380,17,14,50,"Stuffed Grape Leaves (6 pieces - approx. 200g): Grape leaves stuffed with rice, ground lamb, herbs, and spices. Cooked in a lemon-tomato broth.",محشي ورق عنب (6 قطع - حوالي 200 جرام): ورق عنب محشو بالأرز ولحم الضأن المفروم والأعشاب والتوابل. مطبوخ في مرق الليمون والطماطم.,egyptian,6 pieces (approx. 200g),6 قطع (حوالي 200 جرام),No bread suggested,لا يقترح خبز,"high-carb,moderate-protein,moderate-fat,lunch,traditional",lunch
Fatta (Chicken - 350g),فتة (دجاج - 350 جرام),420,25,18,48,"Chicken Fatta: Toasted baladi bread, layered with rice, shredded chicken, and a garlic-yogurt sauce. Topped with toasted nuts.","فتة دجاج: خبز بلدي محمص، طبقات من الأرز، دجاج مبشور، وصلصة زبادي بالثوم. مغطاة بالمكسرات المحمصة.",egyptian,350g serving,350 جرام للوجبة,Already includes bread (Baladi bread),يحتوي بالفعل على خبز (خبز بلدي),"high-carb,moderate-protein,moderate-fat,lunch,traditional",lunch
Grilled Kofta and Kebabs (2 skewers each),كباب وكفتة مشوية (2 سيخ لكل نوع),520,50,28,25,Grilled Kofta (2 skewers - approx. 150g) and Kebabs (2 skewers - approx. 150g). Served with 100g brown rice and 100g grilled vegetables.,كفتة مشوية (2 سيخ - حوالي 150 جرام) وكباب (2 سيخ - حوالي 150 جرام). يقدم مع 100 جرام أرز بني و 100 جرام خضروات مشوية.,egyptian,4 skewers (approx. 400g total) + rice & veggies,4 أسياخ (حوالي 400 جرام إجمالي) + أرز وخضروات,No bread suggested (rice included),لا يقترح خبز (الأرز مشمول),"high-protein,moderate-fat,moderate-carb,lunch,grilled",lunch
Molokhia with Chicken (300ml),ملوخية بالدجاج (300 مل),400,38,17,28,Molokhia Soup with Chicken (300ml): Molokhia leaves cooked in chicken broth with garlic and coriander. Served with 100g brown rice.,شوربة ملوخية بالدجاج (300 مل): أوراق الملوخية المطبوخة في مرقة دجاج بالثوم والكزبرة. يقدم مع 100 جرام أرز بني.,egyptian,300ml soup + 100g rice,300 مل شوربة + 100 جرام أرز,No bread suggested (rice included),لا يقترح خبز (الأرز مشمول),"high-protein,moderate-fat,moderate-carb,lunch,soup",lunch
Fish Tagine (Sayadia Style - 350g),طاجن سمك (صيادية - 350 جرام),420,33,20,35,"Sayadia Fish Tagine (350g): Baked white fish fillet with vegetables (tomatoes, onions, peppers) and Sayadia spice blend. Served with 100g couscous.","طاجن سمك صيادية (350 جرام): شريحة سمك أبيض مخبوزة مع الخضروات (طماطم، بصل، فلفل) وتوابل الصيادية. يقدم مع 100 جرام كسكس.",egyptian,350g tagine + 100g couscous,350 جرام طاجن + 100 جرام كسكس,No bread suggested (couscous included),لا يقترح خبز (الكسكس مشمول),"high-protein,moderate-fat,moderate-carb,lunch,tagine",lunch
Chicken Shawarma Plate (No Pita - 300g),طبق شاورما دجاج (بدون بيتا - 300 جرام),450,40,25,25,Chicken Shawarma Plate (300g): Marinated and grilled chicken shawarma slices served over a bed of mixed greens with tahini sauce on the side.,طبق شاورما دجاج (300 جرام): شرائح شاورما دجاج متبلة ومشوية تقدم فوق طبقة من الخضروات المشكلة مع صلصة طحينة على الجانب.,egyptian,300g plate serving,300 جرام للوجبة,No bread suggested (plate style),لا يقترح خبز (طبق بدون خبز),"high-protein,moderate-fat,low-carb,lunch,shawarma",lunch
Lentil Soup (Egyptian - 300ml),شوربة عدس (مصرية - 300 مل),300,20,6,45,"Egyptian Lentil Soup (300ml): Red lentils cooked with vegetables (carrots, potatoes, onions), cumin, and lemon. Served with 50g baladi bread (1/4 loaf).","شوربة عدس مصرية (300 مل): عدس أحمر مطبوخ مع الخضروات (جزر، بطاطس، بصل)، كمون، وليمون. يقدم مع 50 جرام خبز بلدي (ربع رغيف).",egyptian,300ml soup + bread,300 مل شوربة + خبز,50g Baladi bread (1/4 loaf),50 جرام خبز بلدي (ربع رغيف),"vegetarian,vegan,high-protein,high-carb,low-fat,lunch,soup",lunch
Vegetable Stew with Chickpeas (350g),يخنة خضار بالحمص (350 جرام),280,12,9,40,"Vegetable Stew with Chickpeas (350g): Mixed vegetables (zucchini, carrots, potatoes, peas) and chickpeas in a tomato-based broth with Egyptian spices.","يخنة خضار بالحمص (350 جرام): خضروات مشكلة (كوسة، جزر، بطاطس، بازلاء) وحمص في مرق الطماطم مع التوابل المصرية.",egyptian,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,vegan,moderate-protein,moderate-fat,high-carb,lunch,stew",lunch
Grilled Chicken Caesar Salad,سلطة سيزر بالدجاج المشوي,400,45,20,20,"Grilled Chicken Caesar Salad (400g): Grilled chicken breast (150g) over romaine lettuce with Caesar dressing (30ml), parmesan cheese (15g), and whole wheat croutons (30g).",سلطة سيزر بالدجاج المشوي (400 جرام): صدر دجاج مشوي (150 جرام) فوق خس روماني مع صلصة سيزر (30 مل) وجبن بارميزان (15 جرام) وخبز محمص قمح كامل (30 جرام).,american,400g salad,400 جرام سلطة,No additional bread (croutons included),لا خبز إضافي (الخبز المحمص مشمول),"high-protein,moderate-fat,low-carb,lunch,salad,american",american
Turkey and Avocado Wrap (Whole Wheat),راب الديك الرومي والأفوكادو (قمح كامل),450,32,20,38,"Turkey and Avocado Wrap (1 wrap): Sliced turkey (100g), avocado (50g), lettuce, tomato, and light mayo in a whole-wheat wrap (1 large tortilla).","راب الديك الرومي والأفوكادو (1 راب): شرائح ديك رومي (100 جرام)، أفوكادو (50 جرام)، خس، طماطم، ومايونيز خفيف في راب من القمح الكامل (1 تورتيلا كبيرة).",american,1 wrap serving,1 وجبة راب,Already includes bread (wrap),يحتوي بالفعل على خبز (راب),"high-protein,moderate-fat,moderate-carb,lunch,wrap,american",american
Salmon with Roasted Vegetables,سلمون مع خضروات مشوية,500,38,28,33,"Salmon with Roasted Vegetables (350g): Baked salmon fillet (150g) with roasted broccoli (80g), carrots (50g), and bell peppers (70g).",سلمون مع خضروات مشوية (350 جرام): شريحة سلمون مخبوزة (150 جرام) مع بروكلي مشوي (80 جرام) وجزر مشوي (50 جرام) وفلفل رومي مشوي (70 جرام).,american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,high-fat,moderate-carb,lunch,american",american
American Lentil Soup (300ml),شوربة عدس (أمريكية - 300 مل),250,18,5,35,"American Lentil Soup (300ml): Hearty lentil soup with carrots, celery, onions, and a touch of smoked paprika. Served with 1 slice (50g) whole wheat bread (optional).",شوربة عدس أمريكية (300 مل): شوربة عدس دسمة مع جزر وكرفس وبصل ولمسة من البابريكا المدخنة. تقدم مع شريحة واحدة (50 جرام) خبز القمح الكامل (اختياري).,american,300ml soup + optional bread,300 مل شوربة + خبز اختياري,50g whole wheat bread (1 slice - optional),50 جرام خبز القمح الكامل (1 شريحة - اختياري),"vegan,vegetarian,high-protein,low-fat,high-carb,lunch,soup,american",american
Quinoa Salad with Black Beans and Corn,سلطة الكينوا مع الفاصوليا السوداء والذرة,400,17,12,65,"Quinoa Salad (350g): Quinoa (150g cooked), black beans (80g), corn (50g), bell peppers (50g), red onion, cilantro, and a lime-cumin dressing.","سلطة الكينوا (350 جرام): كينوا (150 جرام مطبوخة)، فاصوليا سوداء (80 جرام)، ذرة (50 جرام)، فلفل رومي (50 جرام)، بصل أحمر، كزبرة، وصلصة ليمون وكمون.",american,350g salad,350 جرام سلطة,No bread suggested,لا يقترح خبز,"vegan,vegetarian,high-protein,high-carb,moderate-fat,lunch,salad,american",american
Tofu Stir-fry with Brown Rice,توفو مقلي مع أرز بني,350,22,14,40,"Tofu Stir-fry (400g): Tofu (100g) stir-fried with mixed vegetables (broccoli, snap peas, carrots - 200g total) and a light soy-ginger sauce. Served with 100g brown rice.","توفو مقلي (400 جرام): توفو (100 جرام) مقلي مع خضروات مشكلة (بروكلي، بازلاء الثلج، جزر - 200 جرام إجمالي) وصلصة صويا وزنجبيل خفيفة. يقدم مع 100 جرام أرز بني.",american,400g stir-fry + rice,400 جرام مقلي + أرز,No bread suggested (rice included),لا يقترح خبز,"vegan,vegetarian,high-protein,moderate-fat,moderate-carb,lunch,american,stir-fry",american
Chicken and Vegetable Skewers,أسياخ دجاج وخضروات,320,38,12,18,"Chicken and Vegetable Skewers (2 skewers): Grilled chicken (120g) and vegetable skewers (peppers, onions, zucchini - 100g veggies). Marinated in herbs and lemon.","أسياخ دجاج وخضروات (2 سيخ): دجاج مشوي (120 جرام) وأسياخ خضروات (فلفل، بصل، كوسة - 100 جرام خضروات). متبلة بالأعشاب والليمون.",american,2 skewers (approx. 220g total),2 سيخ (حوالي 220 جرام إجمالي),No bread suggested,لا يقترح خبز,"high-protein,low-carb,moderate-fat,lunch,american,grilled",american
Shrimp Scampi with Zucchini Noodles,روبيان سكامبي مع نودلز الكوسة,380,33,18,22,"Shrimp Scampi with Zucchini Noodles (300g): Shrimp scampi (150g shrimp) sautéed in garlic and white wine sauce, served over zucchini noodles (150g).","روبيان سكامبي مع نودلز الكوسة (300 جرام): روبيان سكامبي (150 جرام روبيان) مقلي في الثوم وصلصة النبيذ الأبيض، يقدم فوق نودلز الكوسة (150 جرام).",american,300g serving,300 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,low-carb,moderate-fat,lunch,american,seafood,low-carb",american
Black Bean Burger,برجر الفاصوليا السوداء,430,22,12,60,"Black Bean Burger (1 burger): Black bean patty (1 burger - approx. 120g) on a whole wheat bun with lettuce, tomato, avocado (30g), and a light chipotle mayo.",برجر الفاصوليا السوداء (1 برجر): فطيرة الفاصوليا السوداء (1 برجر - حوالي 120 جرام) على خبز القمح الكامل مع الخس والطماطم والأفوكادو (30 جرام) ومايونيز شيبوتلي خفيف.,american,1 burger serving,1 وجبة برجر,Already includes bread (whole wheat bun),يحتوي بالفعل على خبز (خبز قمح كامل),"vegetarian,high-protein,high-carb,moderate-fat,lunch,american,burger",american
Stuffed Bell Peppers (Vegetarian),فلفل محشي (نباتي),330,14,10,50,"Stuffed Bell Peppers (2 peppers): Bell peppers (2 medium) stuffed with rice, mixed vegetables (zucchini, corn, peas), lentils, and herbs. Baked with a light tomato sauce.","فلفل محشي (2 فلفل): فلفل رومي (2 متوسط) محشو بالأرز والخضروات المشكلة (كوسة، ذرة، بازلاء) والعدس والأعشاب. مخبوز مع صلصة طماطم خفيفة.",american,2 peppers serving,2 وجبة فلفل,No bread suggested,لا يقترح خبز,"vegetarian,moderate-protein,moderate-fat,high-carb,lunch,american,vegetarian",american
Falafel Wrap (Upgraded),فلافل راب مطور,450,17,20,55,"Upgraded Falafel Wrap (1 wrap): Falafel (4 pieces), hummus (2 tbsp), tahini sauce (1 tbsp), chopped cucumber, tomato, parsley, and pickled turnips in a whole wheat wrap.","فلافل راب مطور (1 راب): فلافل (4 قطع)، حمص (2 ملعقة كبيرة)، صلصة طحينة (1 ملعقة كبيرة)، خيار مفروم، طماطم، بقدونس، ولفت مخلل في راب من القمح الكامل.",american,1 wrap serving,1 وجبة راب,Already includes bread (wrap),يحتوي بالفعل على خبز (راب),"vegetarian,vegan,moderate-protein,moderate-fat,high-carb,lunch,wrap,american",american
Chicken Fajita Bowl,وعاء فاهيتا دجاج,420,35,15,40,"Chicken Fajita Bowl (350g): Grilled chicken strips (150g) with sautéed bell peppers and onions (150g), served over brown rice (50g). Topped with salsa and a dollop of Greek yogurt.","وعاء فاهيتا دجاج (350 جرام): شرائح دجاج مشوية (150 جرام) مع فلفل رومي وبصل مقلي (150 جرام)، يقدم فوق أرز بني (50 جرام). مغطى بالصلصة وملعقة كبيرة من الزبادي اليوناني.",american,350g bowl,350 جرام للوعاء,No bread suggested (rice included),لا يقترح خبز (الأرز مشمول),"high-protein,moderate-fat,moderate-carb,lunch,american,bowl",american
Tuna Salad Sandwich (Whole Wheat),ساندويتش سلطة التونة (قمح كامل),380,25,16,30,"Tuna Salad Sandwich (1 sandwich): Tuna salad (120g tuna mixed with light mayo, celery, onion) on whole wheat bread (2 slices). Served with lettuce and tomato.",ساندويتش سلطة التونة (1 ساندويتش): سلطة التونة (120 جرام تونة مخلوطة بالمايونيز الخفيف والكرفس والبصل) على خبز القمح الكامل (شريحتين). يقدم مع الخس والطماطم.,american,1 sandwich serving,1 وجبة ساندويتش,Already includes bread (sandwich),يحتوي بالفعل على خبز (ساندويتش),"high-protein,moderate-fat,moderate-carb,lunch,american,sandwich",american
Grilled Chicken with Quinoa & Vegetables,دجاج مشوي مع كينوا وخضروات,450,45,10,45,Grilled chicken breast (150g) served with quinoa (150g cooked) and steamed mixed vegetables (100g).,صدر دجاج مشوي (150 جرام) يقدم مع كينوا (150 جرام مطبوخة) وخضروات مشكلة مطبوخة على البخار (100 جرام).,american,400g serving,400 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,low-fat,moderate-carb,lunch",american
Baked Salmon with Asparagus,سلمون مخبوز مع الهليون,400,40,18,8,Baked salmon fillet (150g) with roasted asparagus (200g) and a lemon wedge.,شريحة سلمون مخبوزة (150 جرام) مع هليون مشوي (200 جرام) وشريحة ليمون.,american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,high-fat,very-low-carb,lunch",american
Lentil Soup with Whole Grain Bread,شوربة عدس مع خبز الحبوب الكاملة,380,30,8,50,Hearty lentil soup (300ml) served with 2 slices of whole grain bread (70g).,شوربة عدس دسمة (300 مل) تقدم مع شريحتين من خبز الحبوب الكاملة (70 جرام).,american,370g serving,370 جرام للوجبة,Already includes bread (whole grain bread),يحتوي بالفعل على خبز (خبز الحبوب الكاملة),"high-protein,low-fat,high-carb,lunch,vegetarian",american
Chicken and Avocado Salad (High Protein),سلطة دجاج وأفوكادو (عالية البروتين),480,50,25,15,"Grilled chicken breast (150g) sliced over mixed greens with avocado (1/2 medium - 70g), tomatoes, cucumbers, and a light vinaigrette.","صدر دجاج مشوي (150 جرام) مقطع فوق الخضروات المشكلة مع أفوكادو (1/2 متوسط - 70 جرام)، طماطم، خيار، وصلصة فينيجريت خفيفة.",american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"high-protein,high-fat,low-carb,lunch,salad",american
Beef and Broccoli Stir-fry with Brown Rice,لحم بقري وبروكلي مقلي مع أرز بني,550,40,25,45,Beef strips (150g lean beef) stir-fried with broccoli (200g) in a soy-ginger sauce. Served with 100g brown rice.,شرائح لحم بقري (150 جرام لحم بقري قليل الدهن) مقلية مع بروكلي (200 جرام) في صلصة صويا وزنجبيل. يقدم مع 100 جرام أرز بني.,american,450g serving,450 جرام للوجبة,No bread suggested (rice included),لا يقترح خبز (الأرز مشمول),"high-protein,moderate-fat,moderate-carb,lunch,stir-fry",american
Mediterranean Quinoa Bowl with Grilled Halloumi,وعاء كينوا متوسطي مع حلوم مشوي,420,25,25,35,"Quinoa (150g cooked) bowl with grilled halloumi cheese (80g), cherry tomatoes, cucumbers, olives, and a lemon-herb dressing.","وعاء كينوا (150 جرام مطبوخة) مع جبنة حلوم مشوية (80 جرام)، طماطم كرزية، خيار، زيتون، وصلصة ليمون وأعشاب.",american,350g serving,350 جرام للوجبة,No bread suggested,لا يقترح خبز,"vegetarian,high-protein,moderate-fat,moderate-carb,lunch,bowl,mediterranean",american
